,scheme_code,scheme_name,nav_start,date_start,nav_end,date_end,nav_growth_abs,nav_growth_pct
117,153007,,11.909,2025-05-20,19.888,2026-05-19,7.979,67.0
118,153008,INF769K01MX7,11.909,2025-05-20,19.886,2026-05-19,7.977,66.98
119,153337,,92.4687,2025-05-20,154.391,2026-05-19,61.9223,66.97
120,150597,,20.479,2025-05-20,34.181,2026-05-19,13.702,66.91
121,152284,,9.18,2025-05-20,15.3218,2026-05-19,6.1418,66.9
122,112126,,18.142,2025-05-20,30.2768,2026-05-18,12.1348,66.89
123,112127,INF740K01300,12.6143,2025-05-20,21.0518,2026-05-18,8.4375,66.89
124,115676,,27.6017,2025-05-20,46.0509,2026-05-19,18.4492,66.84
125,115677,INF200K01HC7,27.6088,2025-05-20,46.0579,2026-05-19,18.4491,66.82
126,120472,INF846K01DR4,29.9149,2025-05-20,49.8941,2026-05-19,19.9792,66.79
127,120473,,29.8868,2025-05-20,49.8476,2026-05-19,19.9608,66.79
128,150715,,17.9517,2025-05-20,29.9421,2026-05-19,11.9904,66.79
129,118662,INF204K01YE0,37.7544,2025-05-20,62.9651,2026-05-19,25.2107,66.78
130,118663,,37.7544,2025-05-20,62.9651,2026-05-19,25.2107,66.78
131,152183,,14.9281,2025-05-20,24.8951,2026-05-19,9.967,66.77
132,152184,INF740KA1TM2,14.9281,2025-05-20,24.8951,2026-05-19,9.967,66.77
133,116795,INF209K01PH0,27.3671,2025-05-20,45.6363,2026-05-19,18.2692,66.76
134,116796,,27.3681,2025-05-20,45.6386,2026-05-19,18.2705,66.76
135,152476,,14.8043,2025-05-20,24.6883,2026-05-18,9.884,66.76
136,150596,,20.385,2025-05-20,33.977,2026-05-19,13.592,66.68
137,114758,,36.2444,2025-05-20,60.4035,2026-05-19,24.1591,66.66
138,114757,INF174K01AV9,36.2444,2025-05-20,60.4023,2026-05-19,24.1579,66.65
139,115934,,28.1514,2025-05-20,46.9144,2026-05-19,18.763,66.65
140,115833,,29.2135,2025-05-20,48.6585,2026-05-19,19.445,66.56
141,115834,INF109K01TL6,29.214,2025-05-20,48.6595,2026-05-19,19.4455,66.56
142,153357,,92.485,2025-05-20,153.9396,2026-05-19,61.4546,66.45
143,114616,,36.1238,2025-05-20,60.1142,2026-05-19,23.9904,66.41
144,114617,INF204K01KP5,36.1238,2025-05-20,60.1142,2026-05-19,23.9904,66.41
145,115897,,27.502,2025-05-20,45.7262,2026-05-19,18.2242,66.26
146,115898,INF846K01AN9,27.5368,2025-05-20,45.7832,2026-05-19,18.2464,66.26
147,152181,INF740KA1TJ8,14.8438,2025-05-20,24.6641,2026-05-19,9.8203,66.16
148,152182,,14.8438,2025-05-20,24.6641,2026-05-19,9.8203,66.16
149,153010,INF769K01MU3,11.873,2025-05-20,19.719,2026-05-19,7.846,66.08
150,153009,,11.881,2025-05-20,19.73,2026-05-19,7.849,66.06
151,151974,,25.9055,2025-05-20,42.9757,2026-05-19,17.0702,65.89
152,120530,INF205K01NI1,27.6134,2025-05-20,45.7086,2026-05-19,18.0952,65.53
153,120531,,27.6558,2025-05-20,45.7787,2026-05-19,18.1229,65.53
154,151973,,24.589,2025-05-20,40.6545,2026-05-19,16.0655,65.34
155,152287,,14.6586,2025-05-20,24.2256,2026-05-19,9.567,65.27
156,152288,,14.6586,2025-05-20,24.2256,2026-05-19,9.567,65.27
157,152289,INF277KA1877,14.6586,2025-05-20,24.2256,2026-05-19,9.567,65.27
158,153339,INF582M01KX4,10.9114,2025-05-20,18.0116,2026-05-19,7.1002,65.07
159,153340,,10.9114,2025-05-20,18.0116,2026-05-19,7.1002,65.07
160,116075,INF205K01FC0,26.6679,2025-05-20,43.9874,2026-05-19,17.3195,64.95
161,116077,,26.6647,2025-05-20,43.9826,2026-05-19,17.3179,64.95
162,152286,,14.5389,2025-05-20,23.9412,2026-05-19,9.4023,64.67
163,152290,,14.5389,2025-05-20,23.9412,2026-05-19,9.4023,64.67
164,152291,INF277KA1919,14.5389,2025-05-20,23.9412,2026-05-19,9.4023,64.67
165,153338,,10.9046,2025-05-20,17.9527,2026-05-19,7.0481,64.63
166,153341,INF582M01KV8,10.9046,2025-05-20,17.9527,2026-05-19,7.0481,64.63
167,152980,,11.7619,2025-05-20,19.3588,2026-05-19,7.5969,64.59
168,153004,INF666M01IZ4,11.7618,2025-05-20,19.3588,2026-05-19,7.597,64.59
169,153005,INF666M01JC1,11.7416,2025-05-20,19.265,2026-05-19,7.5234,64.07
170,153006,,11.7416,2025-05-20,19.2646,2026-05-19,7.523,64.07
171,119779,,26.033,2025-05-20,42.665,2026-05-15,16.632,63.89
172,119778,INF174K01LY0,26.143,2025-05-20,42.844,2026-05-15,16.701,63.88
173,140243,,45.422,2025-05-20,74.238,2026-05-18,28.816,63.44
174,106441,,24.026,2025-05-20,39.171,2026-05-15,15.145,63.04
175,106442,INF174K01DW1,24.027,2025-05-20,39.174,2026-05-15,15.147,63.04
176,119252,,64.3038,2025-05-20,104.5216,2026-05-18,40.2178,62.54
177,140242,,40.474,2025-05-20,65.578,2026-05-18,25.104,62.03
178,153921,,10.336,2025-11-04,16.701,2026-05-19,6.365,61.58
179,153922,,10.335,2025-11-04,16.675,2026-05-19,6.34,61.34
180,117691,,58.7381,2025-05-20,94.6793,2026-05-18,35.9412,61.19
181,127071,,24.6295,2025-05-20,39.3973,2026-05-18,14.7678,59.96
182,119276,INF740K01PE1,14.0042,2025-05-20,22.3485,2026-05-18,8.3443,59.58
183,127073,,22.8298,2025-05-20,36.3681,2026-05-18,13.5383,59.3
184,120044,INF336L01CI5,18.8257,2025-05-20,29.9877,2026-05-18,11.162,59.29
